1,2,
0,2,3,4,
0,1,4,5,
1,4,6,7,
1,2,3,5,7,8,
2,4,8,9,
3,7,14,15,
3,4,6,8,15,16,
4,5,7,9,16,17,
5,8,17,18,
11,23,
10,12,23,24,
11,13,24,25,
12,14,25,26,
6,13,15,26,27,
6,7,14,16,27,28,
7,8,15,17,28,29,
8,9,16,18,29,30,
9,17,19,30,31,
18,20,31,32,
19,21,32,33,
20,22,33,34,
21,34,
10,11,24,35,
11,12,23,25,35,36,
12,13,24,26,36,37,
13,14,25,27,37,38,
14,15,26,28,38,39,
15,16,27,29,39,40,
16,17,28,30,40,41,
17,18,29,31,41,42,
18,19,30,32,42,43,
19,20,31,33,43,44,
20,21,32,34,44,45,
21,22,33,45,
23,24,36,46,
24,25,35,37,46,47,
25,26,36,38,47,48,
26,27,37,39,48,49,
27,28,38,40,49,50,
28,29,39,41,50,51,
29,30,40,42,51,52,
30,31,41,43,52,53,
31,32,42,44,53,54,
32,33,43,45,54,55,
33,34,44,55,
35,36,47,56,
36,37,46,48,56,57,
37,38,47,49,57,58,
38,39,48,50,58,59,
39,40,49,51,59,60,
40,41,50,52,60,61,
41,42,51,53,61,62,
42,43,52,54,62,63,
43,44,53,55,63,64,
44,45,54,64,
46,47,57,65,66,
47,48,56,58,66,67,
48,49,57,59,67,68,
49,50,58,60,68,69,
50,51,59,61,69,70,
51,52,60,62,70,71,
52,53,61,63,71,72,
53,54,62,64,72,73,
54,55,63,73,74,
56,66,75,76,
56,57,65,67,76,77,
57,58,66,68,77,78,
58,59,67,69,78,79,
59,60,68,70,79,80,
60,61,69,71,80,81,
61,62,70,72,81,82,
62,63,71,73,82,83,
63,64,72,74,83,84,
64,73,84,85,
65,76,86,87,
65,66,75,77,87,88,
66,67,76,78,88,89,
67,68,77,79,89,90,
68,69,78,80,90,91,
69,70,79,81,91,92,
70,71,80,82,92,93,
71,72,81,83,93,94,
72,73,82,84,94,95,
73,74,83,85,95,96,
74,84,96,97,
75,87,98,99,
75,76,86,88,99,100,
76,77,87,89,100,101,
77,78,88,90,101,102,
78,79,89,91,102,103,
79,80,90,92,103,104,
80,81,91,93,104,105,
81,82,92,94,105,106,
82,83,93,95,106,107,
83,84,94,96,107,108,
84,85,95,97,108,109,
85,96,109,110,
86,99,
86,87,98,100,
87,88,99,101,
88,89,100,102,
89,90,101,103,111,
90,91,102,104,111,112,
91,92,103,105,112,113,
92,93,104,106,113,114,
93,94,105,107,114,
94,95,106,108,
95,96,107,109,
96,97,108,110,
97,109,
102,103,112,115,
103,104,111,113,115,116,
104,105,112,114,116,117,
105,106,113,117,
111,112,116,118,
112,113,115,117,118,119,
113,114,116,119,
115,116,119,120,
116,117,118,120,
118,119,
